Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	Shimmer	
Timestamp	Timestamp	Low Noise Accelerometer X	Low Noise Accelerometer X	Low Noise Accelerometer Y	Low Noise Accelerometer Y	Low Noise Accelerometer Z	Low Noise Accelerometer Z	Wide Range Accelerometer X	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Wide Range Accelerometer Z	Gyroscope X	Gyroscope X	Gyroscope Y	Gyroscope Y	Gyroscope Z	Gyroscope Z	Magnetometer X	Magnetometer X	Magnetometer Y	Magnetometer Y	Magnetometer Z	Magnetometer Z	
RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	
no units	mSecs	no units	m/(sec^2)*	no units	m/(sec^2)*	no units	m/(sec^2)*	no units	m/(sec^2)*	no units	m/(sec^2)*	no units	m/(sec^2)*	no units	deg/sec*	no units	deg/sec*	no units	deg/sec*	no units	local*	no units	local*	no units	local*	
24960	60742,1875	1218	0,506024096385542	2005	9,98795180722892	1994	0,63855421686747	-1152	0,706315144083384	16256	-9,96689147762109	-960	0,58859595340282	-128	-0,16793893129771	11	1,95419847328244	-6	0,0916030534351145	175	0,159090909090909	236	-0,214545454545455	-670	-0,683673469387755	
25600	60761,71875	1218	0,421686746987952	2012	9,98795180722892	1992	0,662650602409639	-1088	0,66707541385653	16320	-10,0061312078479	-1088	0,66707541385653	-152	-0,106870229007634	7	2,3206106870229	-8	0,122137404580153	181	0,164545454545455	234	-0,212727272727273	-667	-0,680612244897959	
26240	60781,25	1216	0,481927710843373	2007	10,0120481927711	1992	0,662650602409639	-1088	0,66707541385653	16192	-9,92765174739424	-960	0,58859595340282	-122	-0,244274809160305	16	1,86259541984733	46	-0,702290076335878	190	0,172727272727273	235	-0,213636363636364	-673	-0,686734693877551	
26880	60800,78125	1213	0,566265060240964	2000	10,0481927710843	1992	0,662650602409639	-1152	0,706315144083384	16320	-10,0061312078479	-1216	0,745554874310239	-51	0,259541984732824	-17	0,778625954198473	97	-1,48091603053435	176	0,16	232	-0,210909090909091	-665	-0,678571428571429	
27520	60820,3125	1214	0,626506024096386	1995	10,0361445783133	1995	0,626506024096386	-1216	0,745554874310239	16192	-9,92765174739424	-1024	0,627835683629675	-5	0,0458015267175573	-3	0,0763358778625954	73	-1,11450381679389	181	0,164545454545455	248	-0,225454545454545	-666	-0,679591836734694	
28160	60839,84375	1209	0,602409638554217	1997	10,0963855421687	1998	0,590361445783133	-1280	0,784794604537094	16384	-10,0453709380748	-896	0,549356223175966	-18	-0,396946564885496	26	0,274809160305344	38	-0,580152671755725	182	0,165454545454545	255	-0,231818181818182	-674	-0,687755102040816	
28800	60859,375	1216	0,253012048192771	2026	10,0120481927711	1996	0,614457831325301	-896	0,549356223175966	16256	-9,96689147762109	-960	0,58859595340282	-107	-1,58778625954198	104	1,63358778625954	43	-0,656488549618321	181	0,164545454545455	227	-0,206363636363636	-663	-0,676530612244898	
29440	60878,90625	1224	0,204819277108434	2030	9,91566265060241	1999	0,578313253012048	-512	0,313917841814838	16128	-9,88841201716738	-1024	0,627835683629675	125	-2,04580152671756	134	-1,90839694656489	60	-0,916030534351145	183	0,166363636363636	227	-0,206363636363636	-669	-0,68265306122449	
30080	60898,4375	1218	0,433734939759036	2011	9,98795180722892	1989	0,698795180722892	-832	0,510116492949111	16192	-9,92765174739424	-1152	0,706315144083384	517	-1,29770992366412	85	-7,89312977099237	111	-1,69465648854962	185	0,168181818181818	217	-0,197272727272727	-662	-0,675510204081633	
30720	60917,96875	1211	0,710843373493976	1988	10,0722891566265	1990	0,686746987951807	-1472	0,902513795217658	16256	-9,96689147762109	-1088	0,66707541385653	792	-0,427480916030534	28	-12,0916030534351	191	-2,91603053435114	186	0,169090909090909	240	-0,218181818181818	-666	-0,679591836734694	
31360	60937,5	1211	1,01204819277108	1963	10,0722891566265	1985	0,746987951807229	-1792	1,09871244635193	16320	-10,0061312078479	-1024	0,627835683629675	802	-1,20610687022901	79	-12,2442748091603	199	-3,0381679389313	171	0,155454545454545	248	-0,225454545454545	-669	-0,68265306122449	
32000	60957,03125	1205	1,04819277108434	1960	10,144578313253	1991	0,674698795180723	-1984	1,2164316370325	16448	-10,0846106683017	-1152	0,706315144083384	578	-1,17557251908397	77	-8,82442748091603	98	-1,49618320610687	179	0,162727272727273	229	-0,208181818181818	-661	-0,674489795918367	
32640	60976,5625	1223	0,686746987951807	1990	9,92771084337349	1995	0,626506024096386	-1472	0,902513795217658	16064	-9,84917228694053	-960	0,58859595340282	161	-2,79389312977099	183	-2,45801526717557	19	-0,290076335877863	183	0,166363636363636	240	-0,218181818181818	-666	-0,679591836734694	
33280	60996,09375	1219	0,421686746987952	2012	9,97590361445783	2000	0,566265060240964	-1024	0,627835683629675	16256	-9,96689147762109	-768	0,470876762722256	-108	-3,83206106870229	251	1,64885496183206	-25	0,381679389312977	183	0,166363636363636	227	-0,206363636363636	-658	-0,671428571428571	
33920	61015,625	1236	0,445783132530121	2010	9,7710843373494	2001	0,55421686746988	-1024	0,627835683629675	15936	-9,77069282648682	-832	0,510116492949111	10	-4,13740458015267	271	-0,152671755725191	24	-0,366412213740458	182	0,165454545454545	228	-0,207272727272727	-660	-0,673469387755102	
